йатгцояиа;пеяицяажг;а/а;йыд. пекатг;епымулиа;тгкежымо;тфияос;% етаияиас;% йатгцояиас;% ахяоистийа;жаялайа тфияос;% жаялайа;паяажаялайа тфияос;% паяажаялайа;цаката тфияос;% цаката;диажояа тфияос;% диажояа;лийто йеядос аниа;% лийто йеядос;глеяес пистысгс
="02";="лг лекос-жаялайеио";25;="2233";="дамдоукайг м. лаяиа";="210-9935995";3608,63;0,85;0,98;28,02;3419,61;94,76;189,02;5,24;0,00;0,00;0,00;0,00;191,66;5,31;
="02";="лг лекос-жаялайеио";26;="2189";="декгстахг с. лаяиа";="210 2322141";2846,68;0,67;0,78;28,79;2868,83;100,78;19,00;0,67;0,00;0,00;-41,15;-1,45;104,58;3,67;
="02";="лг лекос-жаялайеио";27;="2108";="дглифа аспасиа & сиа ое";="210-2914640";75,98;0,02;0,02;28,81;0,00;0,00;75,98;100,00;0,00;0,00;0,00;0,00;6,65;8,75;
="02";="лг лекос-жаялайеио";28;="2053";="дяитса еиягмг";="2114118000";5790,29;1,37;1,58;30,39;4933,64;85,21;845,13;14,60;11,52;0,20;0,00;0,00;302,51;5,22;
="02";="лг лекос-жаялайеио";29;="2146";="фаяоцоукидгс а памациытгс";="23810-97677";6090,85;1,44;1,66;32,05;6010,79;98,69;65,88;1,08;14,18;0,23;0,00;0,00;285,04;4,68;
="02";="лг лекос-жаялайеио";30;="2138";="фоулпеягс цеыяциос";="210-5223205";4527,19;1,07;1,23;33,28;4130,93;91,25;445,28;9,84;0,00;0,00;-49,02;-1,08;115,70;2,56;
="02";="лг лекос-жаялайеио";31;="2172";="гмтоумас ап. басикеиос";="210-8329664";1133,56;0,27;0,31;33,59;1128,56;99,56;5,00;0,44;0,00;0,00;0,00;0,00;52,90;4,67;
="02";="лг лекос-жаялайеио";32;="2245";="хамасоуяас ахамасиос";="210-2620333";5275,06;1,25;1,44;35,03;4942,13;93,69;332,93;6,31;0,00;0,00;0,00;0,00;265,31;5,03;
="02";="лг лекос-жаялайеио";33;="2057";="иыайеилоцкоу в. екемг";="210-8011479";4892,37;1,16;1,33;36,36;3823,52;78,15;1041,25;21,28;27,60;0,56;0,00;0,00;299,26;6,12;
="02";="лг лекос-жаялайеио";34;="2082";="йабоуяас елл. амтымиос";="210-8646651";847,15;0,20;0,23;36,59;802,92;94,78;68,04;8,03;0,00;0,00;-23,81;-2,81;30,75;3,63;
="02";="лг лекос-жаялайеио";35;="2182";="йайакг мийокетта иыаммгс";="2102310454";1705,22;0,40;0,46;37,06;1541,85;90,42;122,87;7,21;40,50;2,38;0,00;0,00;80,36;4,71;
="02";="лг лекос-жаялайеио";36;="2241";="йайаяиаяг бас. калпяимг";="210-5139451";3118,73;0,74;0,85;37,91;2567,26;82,32;551,47;17,68;0,00;0,00;0,00;0,00;167,74;5,38;
="02";="лг лекос-жаялайеио";37;="2258";="йайаяийоу паяасйеуг";="210-9427055";1526,16;0,36;0,42;38,32;1522,08;99,73;28,66;1,88;0,00;0,00;-24,58;-1,61;52,11;3,41;
="02";="лг лекос-жаялайеио";38;="2133";="йайолгтас с. ахамасиос";="2102827162";4568,94;1,08;1,24;39,57;4137,76;90,56;491,78;10,76;0,00;0,00;-60,60;-1,33;183,15;4,01;
="02";="лг лекос-жаялайеио";39;="2192";="йаккиламгс ц. памациытгс";="210-8651410";1623,17;0,38;0,44;40,01;1577,06;97,16;46,11;2,84;0,00;0,00;0,00;0,00;87,56;5,39;
="02";="лг лекос-жаялайеио";40;="2015";="йакоцгяос петяос";="210-2111194";1886,21;0,45;0,51;40,52;1921,60;101,88;37,69;2,00;0,00;0,00;-73,08;-3,87;19,07;1,01;
="02";="лг лекос-жаялайеио";41;="2167";="йакубгс аццекос памациытгс";="210-4178433";72,15;0,02;0,02;40,54;0,00;0,00;72,15;100,00;0,00;0,00;0,00;0,00;17,18;23,81;
="02";="лг лекос-жаялайеио";42;="2109";="йалпесг ц. оуяамиа";="2105141861";7774,74;1,84;2,12;42,66;7866,70;101,18;26,09;0,34;0,00;0,00;-118,05;-1,52;276,59;3,56;
="02";="лг лекос-жаялайеио";43;="2100";="йалпоуяас йымстамтимос";="2108212689";-7,77;0,00;0,00;42,66;0,00;0,00;0,00;0,00;0,00;0,00;-7,77;100,00;-7,77;100,00;
="02";="лг лекос-жаялайеио";44;="2132";="йапетамайг аяцуяы - коуйисса стукиамг ое";="2109823314";409,46;0,10;0,11;42,77;292,33;71,39;117,13;28,61;0,00;0,00;0,00;0,00;42,03;10,26;
="02";="лг лекос-жаялайеио";45;="2064";="йаяалпека пам. екемг";="210-2772310";3096,26;0,73;0,84;43,62;3055,32;98,68;97,27;3,14;0,00;0,00;-56,33;-1,82;112,28;3,63;
="02";="лг лекос-жаялайеио";46;="2055";="йатсиоука сожиа";="210-6618786";1804,43;0,43;0,49;44,11;1661,48;92,08;83,55;4,63;59,40;3,29;0,00;0,00;87,32;4,84;
="02";="лг лекос-жаялайеио";47;="2251";="йавтитсг хеодыяа йаи сиа ее";="2109225144";2844,16;0,67;0,77;44,88;2557,49;89,92;286,67;10,08;0,00;0,00;0,00;0,00;144,68;5,09;
="02";="лг лекос-жаялайеио";48;="2060";="йоуциамоу лаяиа";="2110132182";958,13;0,23;0,26;45,14;631,95;65,96;343,57;35,86;0,00;0,00;-17,39;-1,81;41,07;4,29;
="02";="лг лекос-жаялайеио";49;="2185";="йоутемтайгс дглгтяиос & сиа ое жаялайеио (ахгма)";="2109626591";8977,53;2,12;2,45;47,59;8254,90;91,95;704,35;7,85;52,63;0,59;-34,35;-0,38;487,01;5,42;
="02";="лг лекос-жаялайеио";50;="2003";="йяассамоу е. гкиамма";="210-6083330";7107,84;1,68;1,94;49,53;6207,83;87,34;886,36;12,47;13,65;0,19;0,00;0,00;418,71;5,89;
="02";="лг лекос-жаялайеио";51;="2033";="йяомтгягс ахамасиос";="210-9633098";74,70;0,02;0,02;49,55;0,00;0,00;75,62;101,23;0,00;0,00;-0,92;-1,23;-8,73;-11,69;
="02";="лг лекос-жаялайеио";52;="2213";="йубекеас с. памациытгс";="2130-442719";2150,11;0,51;0,59;50,13;2048,57;95,28;101,54;4,72;0,00;0,00;0,00;0,00;130,85;6,09;
="02";="лг лекос-жаялайеио";53;="2257";="йымстамтимидоу алакиа & сиа ое";="210-9937627";2928,24;0,69;0,80;50,93;2944,29;100,55;63,21;2,16;0,00;0,00;-79,26;-2,71;86,67;2,96;
="02";="лг лекос-жаялайеио";54;="2124";="калпяидоу деспоима";="210-9834350";1110,22;0,26;0,30;51,23;818,24;73,70;291,98;26,30;0,00;0,00;0,00;0,00;78,08;7,03;
="02";="лг лекос-жаялайеио";55;="2084";="коулоу цеыяциа";="210-6613773";1194,98;0,28;0,33;51,56;1223,74;102,41;0,00;0,00;0,00;0,00;-28,76;-2,41;31,85;2,67;
йатгцояиа;пеяицяажг;а/а;йыд. пекатг;епымулиа;тгкежымо;тфияос;% етаияиас;% йатгцояиас;% ахяоистийа;жаялайа тфияос;% жаялайа;паяажаялайа тфияос;% паяажаялайа;цаката тфияос;% цаката;диажояа тфияос;% диажояа;лийто йеядос аниа;% лийто йеядос;глеяес пистысгс
="02";="лг лекос-жаялайеио";56;="2083";="лацйкаяа дглгтяа";="210-5786100";2523,60;0,60;0,69;52,25;2360,90;93,55;143,59;5,69;19,11;0,76;0,00;0,00;140,95;5,59;
="02";="лг лекос-жаялайеио";57;="2170";="лайяг йым.ма & сиа ое";="210-8001290";7586,45;1,79;2,07;54,31;7231,03;95,32;355,42;4,68;0,00;0,00;0,00;0,00;389,09;5,13;
="02";="лг лекос-жаялайеио";58;="2031";="ламоудайг йаккиопг";="2114107790";2248,69;0,53;0,61;54,92;2250,96;100,10;36,97;1,64;0,00;0,00;-39,24;-1,75;75,20;3,34;
="02";="лг лекос-жаялайеио";59;="2175";="латфайоу амастасиа - йаяастатгяг & сиа ое";="210-2629305";3896,65;0,92;1,06;55,99;3863,44;99,15;33,21;0,85;0,00;0,00;0,00;0,00;216,40;5,55;
="02";="лг лекос-жаялайеио";60;="2153";="лауяокеым л ее";="210-5621777";620,70;0,15;0,17;56,16;596,74;96,14;23,96;3,86;0,00;0,00;0,00;0,00;32,68;5,27;
="02";="лг лекос-жаялайеио";61;="2001";="лаваияа д. ваяийкеиа";="22940-66670";4190,12;0,99;1,14;57,30;3634,55;86,74;542,07;12,94;13,50;0,32;0,00;0,00;220,98;5,27;
="02";="лг лекос-жаялайеио";62;="2088";="лгмиадгс иыаммгс";="210-5241016";-6,13;0,00;0,00;57,30;0,00;0,00;0,00;0,00;0,00;0,00;-6,13;100,00;-6,13;100,00;
="02";="лг лекос-жаялайеио";63;="2118";="лпаятфгс хеожамгс & сиа ее";="270-9580598";217,69;0,05;0,06;57,36;217,69;100,00;0,00;0,00;0,00;0,00;0,00;0,00;11,65;5,35;
="02";="лг лекос-жаялайеио";64;="2201";="лпкоужа еуаццекиа";="210-6122440";1652,85;0,39;0,45;57,81;1586,61;95,99;113,13;6,84;0,00;0,00;-46,89;-2,84;44,60;2,70;
="02";="лг лекос-жаялайеио";65;="2247";="лпоуфа б. екемг";="210-5622779";1605,06;0,38;0,44;58,24;1613,54;100,53;12,54;0,78;0,00;0,00;-21,02;-1,31;54,77;3,41;
="02";="лг лекос-жаялайеио";66;="2202";="лукымайг йкеиы & сиа ое";="210-8027301";1963,00;0,46;0,53;58,78;1790,81;91,23;172,19;8,77;0,00;0,00;0,00;0,00;113,83;5,80;
="02";="лг лекос-жаялайеио";67;="2263";="мийокаоу гкиас & сиа ое";="2106040942";91,38;0,02;0,02;58,80;91,38;100,00;0,00;0,00;0,00;0,00;0,00;0,00;4,57;5,00;
="02";="лг лекос-жаялайеио";68;="2267";="мийокаоу хеожикос & сиа ое";="210-5698733";3745,87;0,89;1,02;59,82;3261,39;87,07;545,60;14,57;0,00;0,00;-61,12;-1,63;142,53;3,80;
="02";="лг лекос-жаялайеио";69;="2103";="мийокаяайг ц. фалпиа";="210-4134866";1467,94;0,35;0,40;60,22;1097,27;74,75;370,67;25,25;0,00;0,00;0,00;0,00;79,99;5,45;
="02";="лг лекос-жаялайеио";70;="2220";="мийокопоукос с & сиа ее";="210-9952888";10257,26;2,43;2,79;63,02;8899,55;86,76;1357,71;13,24;0,00;0,00;0,00;0,00;525,25;5,12;
="02";="лг лекос-жаялайеио";71;="2270";="мийокоутсос й. цеыяциос";="210-9512280";-11,76;0,00;0,00;63,01;0,00;0,00;0,00;0,00;0,00;0,00;-11,76;100,00;-11,76;100,00;
="02";="лг лекос-жаялайеио";72;="2105";="мийопоукоу кеым. ажяодитг";="2299046332";5492,78;1,30;1,50;64,51;4887,82;88,99;734,60;13,37;13,80;0,25;-143,44;-2,61;205,12;3,73;
="02";="лг лекос-жаялайеио";73;="2252";="памацеас г. йымстамтимос";="2109802894";2309,00;0,55;0,63;65,14;2417,37;104,69;7,75;0,34;0,00;0,00;-116,12;-5,03;5,37;0,23;
="02";="лг лекос-жаялайеио";74;="2112";="памациытоу еухакиа-еуаццекиа";="210-8316900";3765,89;0,89;1,03;66,17;3392,75;90,09;373,14;9,91;0,00;0,00;0,00;0,00;196,51;5,22;
="02";="лг лекос-жаялайеио";75;="2098";="памтафопоукос а & сиа ое";="210-5154618";5310,19;1,26;1,45;67,61;5023,71;94,61;286,48;5,39;0,00;0,00;0,00;0,00;295,53;5,57;
="02";="лг лекос-жаялайеио";76;="2121";="памтекайг и. мийокета";="210-6048290";610,03;0,14;0,17;67,78;528,62;86,65;81,41;13,35;0,00;0,00;0,00;0,00;39,15;6,42;
="02";="лг лекос-жаялайеио";77;="2236";="пападопоукос й. покуйаяпос";="210-6120330";2193,00;0,52;0,60;68,38;2227,90;101,59;9,18;0,42;0,00;0,00;-44,08;-2,01;67,28;3,07;
="02";="лг лекос-жаялайеио";78;="2069";="пападопоукоу цеыяциа & сиа ое";="210 6135302";412,64;0,10;0,11;68,49;328,16;79,53;84,48;20,47;0,00;0,00;0,00;0,00;22,70;5,50;
="02";="лг лекос-жаялайеио";79;="2155";="папаеухулиоу й басикеиос ломопяосыпг ийе";="210 8000996";7071,47;1,67;1,93;70,42;5781,45;81,76;1402,35;19,83;0,00;0,00;-112,33;-1,59;269,94;3,82;
="02";="лг лекос-жаялайеио";80;="2219";="папагкиоу й. мийокаос";="210-8813068";46,07;0,01;0,01;70,43;0,00;0,00;46,07;100,00;0,00;0,00;0,00;0,00;12,16;26,39;
="02";="лг лекос-жаялайеио";81;="2080";="папайымстамтимоу ливагк";="210-2584250";7047,90;1,67;1,92;72,35;6872,77;97,52;286,67;4,07;0,00;0,00;-111,54;-1,58;277,44;3,94;
="02";="лг лекос-жаялайеио";82;="2162";="папамийокаоу адаламтиа & сиа ее";="2108027214";6041,40;1,43;1,65;73,99;6055,34;100,23;125,03;2,07;9,65;0,16;-148,62;-2,46;164,64;2,73;
="02";="лг лекос-жаялайеио";83;="2243";="паву б. амма";="210-8066399";-50,35;-0,01;-0,01;73,98;0,00;0,00;0,00;0,00;0,00;0,00;-50,35;100,00;-50,35;100,00;
="02";="лг лекос-жаялайеио";84;="2180";="пекейамоу лаяиа";="210-8018870";3320,25;0,79;0,90;74,89;2970,63;89,47;349,62;10,53;0,00;0,00;0,00;0,00;200,42;6,04;
="02";="лг лекос-жаялайеио";85;="2244";="пкайас дглгтяиос & сиа ее";="210-4511525";3963,00;0,94;1,08;75,97;3874,59;97,77;139,50;3,52;0,00;0,00;-51,09;-1,29;170,19;4,29;
="02";="лг лекос-жаялайеио";86;="2152";="яецйкг еуаццекиа";="210-2284648";6034,60;1,43;1,64;77,61;5956,27;98,70;78,33;1,30;0,00;0,00;0,00;0,00;254,49;4,22;
="02";="лг лекос-жаялайеио";87;="2111";="себдакг х. жытеимг";="210-4284840";217,63;0,05;0,06;77,67;202,64;93,11;14,99;6,89;0,00;0,00;0,00;0,00;12,79;5,88;
="02";="лг лекос-жаялайеио";88;="2158";="сиыяг екемг - мтийас вяистожояос сж ое";="210-6745039";1223,37;0,29;0,33;78,00;1086,83;88,84;160,16;13,09;0,00;0,00;-23,62;-1,93;48,44;3,96;
="02";="лг лекос-жаялайеио";89;="2209";="сиытг деспоима";="210-2778826";741,12;0,18;0,20;78,20;658,41;88,84;82,71;11,16;0,00;0,00;0,00;0,00;37,74;5,09;
="02";="лг лекос-жаялайеио";90;="2199";="спуяопоукоу амтымиа";="210-2831396";2288,07;0,54;0,62;78,83;2216,23;96,86;125,35;5,48;0,00;0,00;-53,51;-2,34;69,65;3,04;
="02";="лг лекос-жаялайеио";91;="2122";="стежамайгс елл. мийокаос";="210-6773286";4776,82;1,13;1,30;80,13;4353,32;91,13;413,60;8,66;9,90;0,21;0,00;0,00;252,67;5,29;
="02";="лг лекос-жаялайеио";92;="2061";="стяоуцйоу е. бийтыяиа";="210-2793100";281,82;0,07;0,08;80,21;251,59;89,27;30,23;10,73;0,00;0,00;0,00;0,00;16,38;5,81;
="02";="лг лекос-жаялайеио";93;="2050";="сж еия. лаяабекиа-й. папапетяопоукос ое";="210-9592000";7113,24;1,68;1,94;82,14;6734,87;94,68;379,87;5,34;59,18;0,83;-60,68;-0,85;343,34;4,83;
="02";="лг лекос-жаялайеио";94;="2028";="сж йасаятфиам лп.-сйоуятг л ое";="210-9240003";3961,10;0,94;1,08;83,22;3917,20;98,89;43,90;1,11;0,00;0,00;0,00;0,00;199,42;5,03;
="02";="лг лекос-жаялайеио";95;="2259";="сж лаяиа лива & елламоугк латсацйа ое";="210-2632391";2275,20;0,54;0,62;83,84;2162,21;95,03;167,65;7,37;26,50;1,16;-81,16;-3,57;34,81;1,53;
="02";="лг лекос-жаялайеио";96;="2024";="сж моусйа басикийг & спамопоукоу аспасиа ое";="210-8940498";898,92;0,21;0,24;84,09;898,92;100,00;0,00;0,00;0,00;0,00;0,00;0,00;44,22;4,92;
="02";="лг лекос-жаялайеио";97;="2143";="тасиопоукоу пам. йымстамтима";="210-5141806";8369,16;1,98;2,28;86,37;7280,25;86,99;1088,91;13,01;0,00;0,00;0,00;0,00;450,45;5,38;
="02";="лг лекос-жаялайеио";98;="2072";="тфалакоуйа басикийг & сиа ое";="210-2810626";587,11;0,14;0,16;86,53;581,84;99,10;5,27;0,90;0,00;0,00;0,00;0,00;29,28;4,99;
="02";="лг лекос-жаялайеио";99;="2227";="тфалтфг лаяиа Т. еУэЦЦЕКОУ";="210-2844919";348,04;0,08;0,09;86,62;335,07;96,27;12,97;3,73;0,00;0,00;0,00;0,00;19,77;5,68;
="02";="лг лекос-жаялайеио";100;="2218";="тфамметоу вакоукайоу & сиа ое";="210-2137766";3164,33;0,75;0,86;87,49;2971,64;93,91;163,74;5,17;28,95;0,91;0,00;0,00;165,41;5,23;
="02";="лг лекос-жаялайеио";101;="2040";="толпокидг басикийг";="210-9406876";2243,96;0,53;0,61;88,10;2062,69;91,92;181,27;8,08;0,00;0,00;0,00;0,00;121,29;5,41;
="02";="лг лекос-жаялайеио";102;="2261";="тоулпа екемг & сиа ое";="210-9705626";2097,05;0,50;0,57;88,67;2056,99;98,09;40,06;1,91;0,00;0,00;0,00;0,00;99,53;4,75;
="02";="лг лекос-жаялайеио";103;="2051";="тяовидоу лгма";="210-8069331";814,45;0,19;0,22;88,89;814,60;100,02;22,69;2,79;0,00;0,00;-22,84;-2,80;14,75;1,81;
="02";="лг лекос-жаялайеио";104;="2240";="тсацдгс пам стауяос";="2105442701";2509,77;0,59;0,68;89,57;2540,24;101,21;26,44;1,05;0,00;0,00;-56,91;-2,27;82,51;3,29;
="02";="лг лекос-жаялайеио";105;="2169";="тсамтайг ав. окца";="210-8040008";208,22;0,05;0,06;89,63;208,22;100,00;0,00;0,00;0,00;0,00;0,00;0,00;10,25;4,92;
="02";="лг лекос-жаялайеио";106;="2048";="тсапяоумг лаяиа";="210-9832140";4631,73;1,10;1,26;90,89;4290,93;92,64;340,80;7,36;0,00;0,00;0,00;0,00;247,66;5,35;
="02";="лг лекос-жаялайеио";107;="2266";="тсапяоумгс й. вягстос";="210-9602654";2222,63;0,53;0,61;91,50;2205,68;99,24;61,13;2,75;0,00;0,00;-44,18;-1,99;53,99;2,43;
="02";="лг лекос-жаялайеио";108;="2230";="тсеке екемг & хеоваяопоукоу еуа сж ое";="2102918047";4003,49;0,95;1,09;92,59;3891,21;97,20;116,42;2,91;54,20;1,35;-58,34;-1,46;156,92;3,92;
="02";="лг лекос-жаялайеио";109;="2222";="тситоуяас и. мийокаос";="210-6139342";2193,12;0,52;0,60;93,19;1711,25;78,03;481,87;21,97;0,00;0,00;0,00;0,00;219,78;10,02;
="02";="лг лекос-жаялайеио";110;="2161";="тсивкайгс - нудиас иыаммгс дглгтягс";="210-5610369";3246,82;0,77;0,88;94,07;3170,97;97,66;160,60;4,95;0,00;0,00;-84,75;-2,61;74,69;2,30;
="02";="лг лекос-жаялайеио";111;="2047";="жкецйас цеыяциос й сиа ее";="210-4532512";5232,47;1,24;1,43;95,50;4876,49;93,20;469,83;8,98;0,00;0,00;-113,85;-2,18;186,74;3,57;
="02";="лг лекос-жаялайеио";112;="2231";="вабеккас йым/мос & сиа ее";="210-8818761";225,38;0,05;0,06;95,56;154,12;68,38;71,26;31,62;0,00;0,00;0,00;0,00;15,47;6,86;
="02";="лг лекос-жаялайеио";113;="2232";="вабеккас йым/мос & сиа ое";="210-8213753";211,52;0,05;0,06;95,62;165,43;78,21;46,09;21,79;0,00;0,00;0,00;0,00;13,41;6,34;
йатгцояиа;пеяицяажг;а/а;йыд. пекатг;епымулиа;тгкежымо;тфияос;% етаияиас;% йатгцояиас;% ахяоистийа;жаялайа тфияос;% жаялайа;паяажаялайа тфияос;% паяажаялайа;цаката тфияос;% цаката;диажояа тфияос;% диажояа;лийто йеядос аниа;% лийто йеядос;глеяес пистысгс
="02";="лг лекос-жаялайеио";114;="2242";="ваилпакоцкоу х. лаяиа";="210-2796380";1894,30;0,45;0,52;96,13;1882,20;99,36;33,81;1,78;0,00;0,00;-21,71;-1,15;74,45;3,93;
="02";="лг лекос-жаялайеио";115;="2226";="вамтфаяа аийатеяимг";="210-8051899";4228,98;1,00;1,15;97,28;3098,90;73,28;844,32;19,97;285,76;6,76;0,00;0,00;278,28;6,58;
="02";="лг лекос-жаялайеио";116;="2176";="вягстоу вягстос & сиа ее";="210-2820244";296,35;0,07;0,08;97,36;286,35;96,63;10,00;3,37;0,00;0,00;0,00;0,00;14,45;4,88;
="02";="лг лекос-жаялайеио";117;="2142";="ьахас м. & сиа ее";="210-6815190";9672,17;2,29;2,64;100,00;9415,50;97,35;342,91;3,55;0,00;0,00;-86,24;-0,89;287,24;2,97;
йатгцояиа;пеяицяажг;а/а;йыд. пекатг;епымулиа;тгкежымо;тфияос;% етаияиас;% йатгцояиас;% ахяоистийа;жаялайа тфияос;% жаялайа;паяажаялайа тфияос;% паяажаялайа;цаката тфияос;% цаката;диажояа тфияос;% диажояа;лийто йеядос аниа;% лийто йеядос;глеяес пистысгс
="04";="диажояои лг лекг";1;="1140";="аягтг ае";="210-8002650";78,79;0,02;100,00;100,00;0,00;0,00;0,00;0,00;0,00;0,00;78,79;100,00;78,79;100,00;
йатгцояиа;пеяицяажг;а/а;йыд. пекатг;епымулиа;тгкежымо;тфияос;% етаияиас;% йатгцояиас;% ахяоистийа;жаялайа тфияос;% жаялайа;паяажаялайа тфияос;% паяажаялайа;цаката тфияос;% цаката;диажояа тфияос;% диажояа;лийто йеядос аниа;% лийто йеядос;глеяес пистысгс
