йатгцояиа;пеяицяажг;а/а;йыд. пекатг;епымулиа;тгкежымо;тфияос;% етаияиас;% йатгцояиас;% ахяоистийа;жаялайа тфияос;% жаялайа;паяажаялайа тфияос;% паяажаялайа;цаката тфияос;% цаката;диажояа тфияос;% диажояа;лийто йеядос аниа;% лийто йеядос;глеяес пистысгс
="01";="лекос";17;="0672";="лпацоядайгс цеыяциос";="28430-22276";15401,47;3,87;4,58;46,17;15005,88;97,43;285,59;1,85;110,00;0,71;0,00;0,00;715,27;4,64;
="01";="лекос";18;="0175";="пацйакос мийокаос";="28420-51004";6239,59;1,57;1,85;48,02;5845,69;93,69;295,94;4,74;97,96;1,57;0,00;0,00;287,51;4,61;
="01";="лекос";19;="1453";="пяофулгс еуаццекос";="28410-32144";9786,56;2,46;2,91;50,93;9403,36;96,08;244,94;2,50;377,66;3,86;-239,40;-2,45;263,14;2,69;
="01";="лекос";20;="0377";="яоулпекайгс мийокаос";="28410-33093";3080,85;0,78;0,92;51,85;3053,65;99,12;57,47;1,87;0,00;0,00;-30,27;-0,98;121,97;3,96;
="01";="лекос";21;="0388";="сицамос елламоугк & сиа ое";="28420-24981";2543,70;0,64;0,76;52,60;2831,14;111,30;157,76;6,20;84,05;3,30;-529,25;-20,81;-412,06;-16,20;
="01";="лекос";22;="0266";="стойоу бийтыяиа т. басикеиоу";="28430-71259";6119,27;1,54;1,82;54,42;5821,15;95,13;298,12;4,87;0,00;0,00;0,00;0,00;301,83;4,93;
="01";="лекос";23;="1093";="суккицаядайгс ст-суккицаядайг лаяиа еиягмг сж ое";="28430-23374";22924,13;5,77;6,81;61,23;22569,20;98,45;560,84;2,45;204,50;0,89;-410,41;-1,79;616,50;2,69;
="01";="лекос";24;="0483";="сж боциатфгс иыаммгс & боциатфг аццекийг ое";="28430-51229-51269";982,99;0,25;0,29;61,52;865,16;88,01;69,79;7,10;48,04;4,89;0,00;0,00;50,42;5,13;
="01";="лекос";25;="1175";="сж далгкайг амастасайг аийатеяимг & амастасайгс йымстамтимос ое";="28420-23363";9494,95;2,39;2,82;64,34;9406,49;99,07;221,99;2,34;131,85;1,39;-265,38;-2,79;170,51;1,80;
="01";="лекос";26;="0143";="сж фыцяажайг-йоутсодомтг л. & йоутсодомтг е. ое";="28430-24620";12215,00;3,07;3,63;67,97;11892,86;97,36;185,82;1,52;136,32;1,12;0,00;0,00;613,84;5,03;
="01";="лекос";27;="0013";="сж лакеядос иыам - йапетамоу аил ое";="28410-24795";16633,94;4,18;4,94;72,92;16126,94;96,95;722,69;4,34;65,68;0,39;-281,37;-1,69;601,41;3,62;
="01";="лекос";28;="0277";="сж мийокайопоукоу лаяиа&лауяойоуйоукайг еиягамма ое";="28420-24407";4725,82;1,19;1,40;74,32;4725,57;99,99;15,02;0,32;95,26;2,02;-110,03;-2,33;101,20;2,14;
="01";="лекос";29;="0148";="сж пемидгс йым/мос & пемидгс дглгтяиос ое";="28410-24654";18259,24;4,59;5,43;79,75;17381,25;95,19;550,30;3,01;327,69;1,79;0,00;0,00;883,60;4,84;
="01";="лекос";30;="0361";="сж пкайоциаммайгс ливагк & пкайоциаммайгс цеыяциос о.е.";="28410-22334";22981,77;5,78;6,83;86,57;21889,11;95,25;1234,62;5,37;304,10;1,32;-446,06;-1,94;714,56;3,11;
="01";="лекос";31;="1187";="сж сйомтимг немг & воуясамидгс паяасвос ое";="28410-33533";11083,11;2,79;3,29;89,87;11109,75;100,24;187,64;1,69;143,80;1,30;-358,08;-3,23;193,66;1,75;
="01";="лекос";32;="0691";="сж табка л - табка аий.ое";="28410-28210";6490,80;1,63;1,93;91,80;6225,18;95,91;273,08;4,21;56,42;0,87;-63,88;-0,98;242,68;3,74;
="01";="лекос";33;="1200";="жоукедайгс л дглгтяиос";="28410-31650";19526,12;4,91;5,80;97,60;19877,42;101,80;224,33;1,15;79,00;0,40;-654,63;-3,35;238,95;1,22;
="01";="лекос";34;="1149";="ватфгдайг амастасиа ее";="28410-27555";8086,99;2,03;2,40;100,00;7801,54;96,47;162,92;2,01;258,96;3,20;-136,43;-1,69;243,97;3,02;
йатгцояиа;пеяицяажг;а/а;йыд. пекатг;епымулиа;тгкежымо;тфияос;% етаияиас;% йатгцояиас;% ахяоистийа;жаялайа тфияос;% жаялайа;паяажаялайа тфияос;% паяажаялайа;цаката тфияос;% цаката;диажояа тфияос;% диажояа;лийто йеядос аниа;% лийто йеядос;глеяес пистысгс
="02";="лг лекос-жаялайеио";1;="1087";="йапяакос иасомас & сиа ое жаялайеио";="2843093244";8307,30;2,09;100,00;100,00;7974,08;95,99;129,84;1,56;203,38;2,45;0,00;0,00;400,62;4,82;
йатгцояиа;пеяицяажг;а/а;йыд. пекатг;епымулиа;тгкежымо;тфияос;% етаияиас;% йатгцояиас;% ахяоистийа;жаялайа тфияос;% жаялайа;паяажаялайа тфияос;% паяажаялайа;цаката тфияос;% цаката;диажояа тфияос;% диажояа;лийто йеядос аниа;% лийто йеядос;глеяес пистысгс
="90";="жаялайапохгйес хуц/йес";1;="0200";="су.жа.й. сУМ.п.е.";="2810-302000";47993,35;12,07;91,18;91,18;47993,35;100,00;0,00;0,00;0,00;0,00;0,00;0,00;46,98;0,10;
="90";="жаялайапохгйес хуц/йес";2;="3000";="су.жа.я ае";="28310-26104";4643,25;1,17;8,82;100,00;4643,25;100,00;0,00;0,00;0,00;0,00;0,00;0,00;2,97;0,06;

йатгцояиа;пеяицяажг;тфияос;% етаияиас;% ахяоистийа;жаялайа тфияос;% жаялайа;паяажаялайа тфияос;% паяажаялайа;цаката тфияос;% цаката;диажояа тфияос;% диажояа;лийто йеядос аниа;% лийто йеядос
="01";="лекос";336558,72;84,67;84,67;328239,36;97,53;8659,89;2,57;3770,91;1,12;-4111,44;-1,22;11926,56;3,54
="02";="лг лекос-жаялайеио";8307,30;2,09;86,76;7974,08;95,99;129,84;1,56;203,38;2,45;0,00;0,00;400,62;4,82
="90";="жаялайапохгйес хуц/йес";52636,60;13,24;100,00;52636,60;100,00;0,00;0,00;0,00;0,00;0,00;0,00;49,95;0,09
