йатгцояиа;пеяицяажг;а/а;йыд. пекатг;епымулиа;тгкежымо;тфияос;% етаияиас;% йатгцояиас;% ахяоистийа;жаялайа тфияос;% жаялайа;паяажаялайа тфияос;% паяажаялайа;цаката тфияос;% цаката;диажояа тфияос;% диажояа;лийто йеядос аниа;% лийто йеядос;глеяес пистысгс
="02";="лг лекос-жаялайеио";14;="0051";="сж йатайг еутувиа - йатайгс памтекгс  о.е";="28220-22451";301,88;1,26;8,93;28,21;289,18;95,79;12,70;4,21;0,00;0,00;0,00;0,00;14,82;4,91;
="02";="лг лекос-жаялайеио";15;="1449";="сж ластояайг е. - йеяалиамайг д. - йеяалиамайг л.п. ое";="28310-51113";158,84;0,66;4,70;32,91;0,00;0,00;158,84;100,00;0,00;0,00;0,00;0,00;-36,05;-22,70;
="02";="лг лекос-жаялайеио";16;="0249";="сж тфеияамг еуамхиа & стукиамос ое";="28210-31110";989,94;4,14;29,29;62,19;962,51;97,23;27,43;2,77;0,00;0,00;0,00;0,00;35,70;3,61;
="02";="лг лекос-жаялайеио";17;="0342";="сж жаяаццитайгс елл. & иыам. ое";="28220-22742";85,61;0,36;2,53;64,73;0,00;0,00;85,61;100,00;0,00;0,00;0,00;0,00;-21,85;-25,52;
="02";="лг лекос-жаялайеио";18;="0190";="жаялайеио е. йаббакоу ое";="28310-28200";790,53;3,30;23,39;88,11;750,07;94,88;40,46;5,12;0,00;0,00;0,00;0,00;25,52;3,23;
="02";="лг лекос-жаялайеио";19;="0213";="ватфг еухакиа";="28210-51744";254,51;1,06;7,53;95,64;254,51;100,00;0,00;0,00;0,00;0,00;0,00;0,00;7,43;2,92;
="02";="лг лекос-жаялайеио";20;="1090";="ватфидайи аццекийг";="28310-26519";70,71;0,30;2,09;97,74;0,00;0,00;70,71;100,00;0,00;0,00;0,00;0,00;-4,43;-6,27;
="02";="лг лекос-жаялайеио";21;="0212";="ватфидайи епал. аяцуяг";="28310-81081";76,51;0,32;2,26;100,00;0,00;0,00;76,51;100,00;0,00;0,00;0,00;0,00;-18,02;-23,55;

йатгцояиа;пеяицяажг;тфияос;% етаияиас;% ахяоистийа;жаялайа тфияос;% жаялайа;паяажаялайа тфияос;% паяажаялайа;цаката тфияос;% цаката;диажояа тфияос;% диажояа;лийто йеядос аниа;% лийто йеядос
="01";="лекос";20544,77;85,87;85,87;18643,44;90,75;1901,33;9,25;0,00;0,00;0,00;0,00;315,22;1,53
="02";="лг лекос-жаялайеио";3380,03;14,13;100,00;2493,85;73,78;886,18;26,22;0,00;0,00;0,00;0,00;-62,41;-1,85
